rebalance_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2013-04-10,CCRO3,CCR SA,18821,2013-03-18 19:34:57,2012-12-31,1765.5872,7272.158,2497.436,0.1753751172362722,36265.161088,43537.319088000004,0.05736310944989622,29
2013-04-10,PFRM3,PROFARMA,20346,2013-03-26 22:53:05,2012-12-31,33.543,173.304,84.388,0.0843886393078735,737.27514,910.5791399999999,0.09267508587995989,30
2014-04-10,MGLU3,MAGAZ LUIZA,22470,2014-02-24 07:35:59,2013-12-31,186.494,548.6859999999999,374.966,0.1893924199428786,1333.4321,1882.1181,0.19922554275419807,1
2014-04-10,ETER3,ETERNIT,5762,2014-03-17 10:31:17,2013-12-31,89.5,33.724000000000004,143.247,0.2038030670799794,748.2199999999999,781.944,0.18319342561615667,2
2014-04-10,PTBL3,PORTOBELLO,13773,2014-03-25 20:46:58,2013-12-31,159.009,235.457,138.713,0.3899552757569045,804.5855399999999,1040.04254,0.13337242917006067,3
2014-04-10,EZTC3,EZTEC,20770,2014-03-19 21:13:25,2013-12-31,146.72412,93.60700000000004,568.504,0.232118386287165,4131.7512192,4225.3582192,0.1345457522197104,4
2014-04-10,HGTX3,CIA HERING,14761,2014-02-20 18:29:17,2013-12-31,164.611,-116.279,405.003,0.4344699359758922,4151.48942,4035.21042,0.10036725668447298,5
2014-04-10,HBOR3,HELBOR,20877,2014-03-18 20:37:15,2013-12-31,257.7,997.522,456.041,0.1382713137625839,1963.674,2961.196,0.15400567878654436,6
2014-04-10,EMBR3,EMBRAER,20087,2014-04-02 19:24:18,2013-12-31,740.465,-1005.5859999999992,1605.885,0.1705259514980814,14231.737299999999,13226.1513,0.12141740734509819,7
2014-04-10,BEEF3,MINERVA,20931,2014-03-11 18:50:11,2013-12-31,145.056023,1865.41,459.517,0.1422641905942207,1469.4175129900002,3334.8275129900003,0.1377933336012326,8
2014-04-10,JHSF3,JHSF PART,20605,2014-03-25 23:06:51,2013-12-31,432.043157,1556.2520000000002,544.314,0.1201043888169166,1754.09521742,3310.34721742,0.16442806879461555,9
2014-04-10,BEMA3,BEMATECH,20656,2014-02-25 18:06:36,2013-12-31,51.56827,-60.499,58.414,0.1125119725441327,455.8635068,395.36450679999996,0.1477472028857397,10
2014-04-10,VALE5,VALE,4170,2014-03-17 19:18:56,2013-12-31,5365.305,56511.766,33436.715,0.1087921904355631,159081.29325,215593.05925,0.1550917970936488,11
2014-04-10,KLBN4,KLABIN S/A,12653,2014-02-12 09:36:33,2013-12-31,917.683296,3984.214,1119.252,0.084922086635192,2055.61058304,6039.82458304,0.18531200444842247,12
2014-04-10,GRND3,GRENDENE,19615,2014-02-13 18:44:14,2013-12-31,300.72,-314.28900000000004,399.233,0.1634572742995674,4447.6488,4133.3598,0.09658801055741627,13
2014-04-10,RAPT4,RANDON PART,14109,2014-04-02 11:18:19,2013-12-31,243.785,1192.137,446.422,0.1119900841298185,2028.2912000000001,3220.4282000000003,0.13862193853599966,14
2014-04-10,RDNI3,RODOBENSIMOB,20451,2014-03-20 18:52:07,2013-12-31,48.575,309.219,158.087,0.0886025017196137,568.3275,877.5464999999999,0.18014657912714596,15
2014-04-10,NATU3,NATURA,19550,2014-03-17 18:18:45,2013-12-31,431.239,1584.598,1415.996,0.4785208086172493,17818.79548,19403.39348,0.07297671932796367,16
2014-04-10,BRML3,BR MALLS PAR,19909,2014-03-17 19:38:49,2013-12-31,457.066,4278.201,1811.726,0.095604263601034,8492.286279999998,12770.487279999998,0.14186819659085087,17
2014-04-10,PCAR4,P.ACUCAR-CBD,14826,2014-03-18 20:52:41,2013-12-31,264.453,1101.639000000001,2948.239,0.1344371924907319,27640.627559999997,28742.266559999996,0.10257503505666467,18
2014-04-10,AUTM3,AUTOMETAL,22381,2014-02-28 07:58:13,2013-12-31,125.908,557.1980000000001,262.84,0.1483914897111456,2275.15756,2832.35556,0.09279908345970517,19
2014-04-10,DIRR3,DIRECIONAL,21350,2014-03-17 19:23:22,2013-12-31,155.298749,347.7489999999999,258.721,0.0918744158843933,1625.97790203,1973.72690203,0.13108247130537795,20
2014-04-10,LEVE3,METAL LEVE,8575,2014-03-14 17:55:09,2013-12-31,128.3085,267.391,311.362,0.1206093533485264,2947.2462450000003,3214.6372450000003,0.09685758493723916,21
