DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
ACOPALMA CIA INDL ACOS V PALMA|1978-05-09|2007-08-07|CANCELADA|2007-08-07|60|Metalurgia e Siderurgia|PRIVADO
ACOS ANHANGUERA SA|1971-10-20|1994-02-09|CANCELADA|1994-02-09|78|Metalurgia e Siderurgia|PRIVADO
ACOS DO BRASIL SA IND E COM|1972-08-16|1989-12-14|CANCELADA|1989-12-14|86|Metalurgia e Siderurgia|PRIVADO
PANATLANTICA SA|1971-12-29||ATIVO|1971-12-29|94|Metalurgia e Siderurgia|PRIVADO
ACRINOR ACRILONITRILA DO NE SA|1981-12-23|2000-02-21|CANCELADA|2000-02-21|116|Petroquímicos e Borracha|PRIVADO
ADESENE ADESIVOS NO NORDESTE SA|1974-12-10|2005-08-09|CANCELADA|2005-08-09|132|Petroquímicos e Borracha|PRIVADO
ADUBOS VIANNA SA INDUSTRIA E COMERCIO|1969-09-22|2005-12-20|CANCELADA|2005-12-20|159|Petroquímicos e Borracha|PRIVADO
AEROFOTO CRUZEIRO SA|1977-07-20|1992-12-01|CANCELADA|1992-12-01|167|Serviços Diversos|PRIVADO
AGGS INDS GRAFICAS SA|1971-05-14|1987-05-04|CANCELADA|1987-05-04|175|Gráficas e Editoras|PRIVADO
AGRALE SA|1977-07-20|2000-06-26|CANCELADA|2000-06-26|183|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
AGRO PASTORIL CARIRI SA CARIRISA|1977-07-20|2005-08-09|CANCELADA|2005-08-09|205|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
AGROPECUARIA TAMAKAVY SA|1983-09-16|1988-02-25|CANCELADA|1988-02-25|213|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
AGRONORTE SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|221|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO|1977-07-20|2005-08-05|CANCELADA|2005-08-05|248|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ALFA NORDESTE SA INDUSTRIA DO VESTUARIO|1980-11-17|2007-11-13|CANCELADA|2007-11-13|272|Têxtil e Vestuário|PRIVADO
ALFRED SA COMERCIO DO VESTUARIO|1982-01-22|2005-08-09|CANCELADA|2005-08-09|280|Têxtil e Vestuário|PRIVADO
ALMEC INDUSTRIAS MECANICA SA|1975-01-03|2005-03-22|CANCELADA|2005-03-22|302|Metalurgia e Siderurgia|PRIVADO
ALPINA BRASIL SA MAQ IMP AGRIC|1976-08-20|2005-08-09|CANCELADA|2005-08-09|329|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ALPLAN SA IND COM CH MAD AGLOM|1982-12-02|1989-08-02|CANCELADA|1989-08-02|337|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ALUSUD ALUMINIO DO SUL SA|1975-12-17|1987-05-15|CANCELADA|1987-05-15|353|Metalurgia e Siderurgia|PRIVADO
AMADEO ROSSI SA MET MUNICOES|1971-12-08|2002-09-18|CANCELADA|2002-09-18|361|Metalurgia e Siderurgia|PRIVADO
AMAZONAS PRODS P CALCADOS SA|1983-02-28|1988-06-15|CANCELADA|1988-06-15|370|Têxtil e Vestuário|PRIVADO
ANCORA COMERCIAL SA|1977-07-20|1989-05-26|CANCELADA|1989-05-26|396|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
APOLO PRODUTOS DE ACO SA|1971-07-09|1990-10-30|CANCELADA|1990-10-30|426|Metalurgia e Siderurgia|PRIVADO
ARACRUZ CELULOSE S/A|1980-02-05|2009-12-31|CANCELADA|2009-12-31|434|Papel e Celulose|PRIVADO
ARAGUAIA CIA INDL DE PROD ALIM|1973-11-29|1987-06-05|CANCELADA|1987-06-05|442|Alimentos|PRIVADO
ARAFERTIL SA|1982-08-26|1989-01-13|CANCELADA|1989-01-13|485|Petroquímicos e Borracha|PRIVADO
BIRMANN SA COM. E EMPREEND.|1982-08-23|1989-11-03|CANCELADA|1989-11-03|493|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ARCON SA IND ELETROMETALURGICA|1968-08-05|1987-12-03|CANCELADA|1987-12-03|507|Metalurgia e Siderurgia|PRIVADO
ARMAZENS GERAIS EMPR UNIAO SA|1977-07-20|1991-03-08|CANCELADA|1991-03-08|515|Serviços Transporte e Logística|PRIVADO
ARNO SA|1968-09-23|2000-05-16|CANCELADA|2000-05-16|523|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ARTEFATOS PAPEL NE SA ARTEPE|1970-12-30|1986-11-05|CANCELADA|1986-11-05|531|Outras Atividades Industriais|PRIVADO
KUALA SA|1969-01-03|2006-06-30|CANCELADA|2006-06-30|566|Têxtil e Vestuário|PRIVADO HOLDING
ARTHUR LANGE SA IND E COM|1977-07-20|2011-01-04|CANCELADA|2011-01-04|574|Têxtil e Vestuário|PRIVADO
ASBERIT SA|1981-02-24|1986-03-18|CANCELADA|1986-03-18|582|Outras Atividades Industriais|PRIVADO
ASO METAL SA|1970-04-27|1992-07-06|CANCELADA|1992-07-06|590|Metalurgia e Siderurgia|PRIVADO
ATMA SA|1970-08-19|2005-03-22|CANCELADA|2005-03-22|604|Petroquímicos e Borracha|PRIVADO
DUREX INDUSTRIAL SA|1977-07-20|2000-01-10|CANCELADA|2000-01-10|620|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BACRAFT SA INDUSTRIA DE PAPEL|1977-07-20|2006-05-12|CANCELADA|2006-05-12|680|Papel e Celulose|PRIVADO
BAHEMA AGROPECUARIA SA|1977-07-20|1991-08-30|CANCELADA|1991-08-30|698|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
BAHEMA EDUCACAO S.A.|1974-01-02||ATIVO|1974-01-02|701|Emp. Adm. Part. - Educação|PRIVADO
BAHIA OTHON PALACE HOTEL SA|1973-11-30|1984-10-26|CANCELADA|1984-10-26|710|Hospedagem e Turismo|PRIVADO
BANYLSA TECELAGEM DO BRASIL SA|1980-10-01|1993-06-17|CANCELADA|1993-06-17|1503|Têxtil e Vestuário|PRIVADO
BARBER GREENE BRASIL INDUSTRIA E COMERCIO SA|1971-11-26|2005-03-22|CANCELADA|2005-03-22|1511|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL|1969-11-26||ATIVO|1969-11-26|1520|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BATES SA|1977-07-20|1989-11-29|CANCELADA|1989-11-29|1546|Embalagens|PRIVADO
BAUMER SA|1970-05-20||ATIVO|1970-05-20|1562|Metalurgia e Siderurgia|PRIVADO
EXCELSIOR ALIMENTOS SA.|1977-07-20||ATIVO|1977-07-20|1570|Alimentos|PRIVADO
BENZENEX SA ADUBOS E INSET|1971-08-17|1999-03-30|CANCELADA|1999-03-30|1635|Petroquímicos e Borracha|PRIVADO
NESBER COMPANHIA INDUSTRIAL|1977-07-20|2010-01-04|CANCELADA|2010-01-04|1651|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BETA SA INDUSTRIA E COMERCIO|1980-12-23|2007-11-13|CANCELADA|2007-11-13|1660|Comércio (Atacado e Varejo)|PRIVADO
BETUMARCO SA ENGENHARIA INDUSTRIA COMERCIO|1977-07-20|2006-11-22|CANCELADA|2006-11-22|1678|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL|1982-02-11|2021-08-09|CANCELADA|2021-08-09|1686|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BICICLETAS MONARK SA|1971-12-01||ATIVO|1971-12-01|1694|Brinquedos e Lazer|PRIVADO
BIOBRAS SA|1974-12-19|2002-11-27|CANCELADA|2002-11-27|1708|Farmacêutico e Higiene|PRIVADO
BONATO SA COM E INDUSTRIA|1977-07-20|1992-03-11|CANCELADA|1992-03-11|1775|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BONFIGLIOLI COML CONSTRUT SA|1982-12-20|1991-09-05|CANCELADA|1991-09-05|1783|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BORBONITE SA IND DE BORRACHAS|1970-02-26|1992-10-01|CANCELADA|1992-10-01|1791|Petroquímicos e Borracha|PRIVADO
BORGHOFF SA|1977-07-20|1999-05-07|CANCELADA|1999-05-07|1805|Comércio (Atacado e Varejo)|PRIVADO
BORLEM SA EMPREEND INDUSTRIAIS|1981-05-20|1999-03-10|CANCELADA|1999-03-10|1813|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BRADESCO TURISMO SA ADM E SERV|1971-04-05|1988-06-15|CANCELADA|1988-06-15|1848|Hospedagem e Turismo|PRIVADO
BRAFER INDL SA PRODS SIDERURG|1977-07-20|1995-03-07|CANCELADA|1995-03-07|1856|Metalurgia e Siderurgia|PRIVADO
BRASIL CENTRAL HOTEIS E TUR SA|1973-02-28|1998-12-30|CANCELADA|1998-12-30|1880|Hospedagem e Turismo|PRIVADO
BRASIL OLEOS INDUSTRIA COMERCIO SA BRASOLEO|1977-07-20|2005-12-20|CANCELADA|2005-12-20|1899|Alimentos|PRIVADO
BRASILINVEST INFORM.TELEC.S/A|1983-02-22|1995-12-15|CANCELADA|1995-12-15|1902|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BRASILJUTA SA FIACAO TEC JUTA|1971-08-28|1993-03-01|CANCELADA|1993-03-01|1929|Têxtil e Vestuário|PRIVADO
BRASIL BELEM HOTEIS E TURISMO SA|1974-08-08|2010-01-04|CANCELADA|2010-01-04|1937|Hospedagem e Turismo|PRIVADO
BRASIMET COM E INDUSTRIA SA|1971-08-06|1993-09-15|CANCELADA|1993-09-15|1945|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SPSCS INDUSTRIAL SA|1977-07-20|2010-01-04|CANCELADA|2010-01-04|1953|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BRINQUEDOS BANDEIRANTES SA|1989-08-15|1993-09-10|CANCELADA|1993-09-10|2003|Comércio (Atacado e Varejo)|PRIVADO
BRINQUEDOS MIMO SA|1966-02-10|2005-12-20|CANCELADA|2005-12-20|2011|Brinquedos e Lazer|PRIVADO
BUAIZ SA INDUSTRIA E COMERCIO|1977-07-20|1991-04-05|CANCELADA|1991-04-05|2020|Alimentos|PRIVADO
BUETTNER SA IND E COMÉRCIO|1969-02-27|2018-05-30|CANCELADA|2018-05-30|2038|Têxtil e Vestuário|PRIVADO
BUSCHLE & LEPPER SA|1943-12-01|1990-03-29|CANCELADA|1990-03-29|2046|Petroquímicos e Borracha|PRIVADO
CAFE SOLUVEL BRASILIA SA|1977-07-20|2014-12-18|CANCELADA|2014-12-18|2062|Alimentos|PRIVADO
CAJU INDUSTRIAL SA CISA|1973-10-11|2006-03-21|CANCELADA|2006-03-21|2070|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CAJUNORTE DO BRASIL SA|1977-07-20|2004-01-06|CANCELADA|2004-01-06|2089|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CALCADOS ORTOPE SA IND E COM|1975-05-22|1985-05-21|CANCELADA|1985-05-21|2097|Têxtil e Vestuário|PRIVADO
CAMBUCI SA|1985-01-05||ATIVO|1985-01-05|2100|Têxtil e Vestuário|PRIVADO
CANADENSE SA INDUSTRIA E PNEUS AGRICOLA|1977-07-20|2005-03-22|CANCELADA|2005-03-22|2119|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CARAMURU ALIMENTOS DE MILHO SA|1982-07-16|1986-03-26|CANCELADA|1986-03-26|2127|Alimentos|PRIVADO
CARIRI INDUSTRIAL DE OLEOS SA|1977-07-20|2010-05-07|CANCELADA|2010-05-07|2143|Alimentos|PRIVADO
CASA ANGLO BRASILEIRA S/A|1977-07-20|2005-08-09|CANCELADA|2005-08-09|2178|Comércio (Atacado e Varejo)|PRIVADO
CASA JOSE SILVA CONFECCOES SA|1977-07-20|1998-12-30|CANCELADA|1998-12-30|2194|Comércio (Atacado e Varejo)|PRIVADO
CASA MASSON SA COM E INDUSTRIA|1977-07-20|2005-03-22|CANCELADA|2005-03-22|2208|Comércio (Atacado e Varejo)|PRIVADO
CASAS DA BANHA COMERCIO E INDUSTRIA SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|2216|Comércio (Atacado e Varejo)|PRIVADO
LUMIERE SA|1980-10-22|2007-02-14|CANCELADA|2007-02-14|2224|Têxtil e Vestuário|PRIVADO
CAUCAIA INDUSTRIAL SA CAISA|1977-07-20|1997-02-17|CANCELADA|1997-02-17|2259|Alimentos|PRIVADO
CBEI CIA BRASILEIRA ENGENHARIA E INDUSTRIA|1977-07-20|2005-08-09|CANCELADA|2005-08-09|2275|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CBH CIA BRAS HABITACAO|1983-07-22|1985-03-04|CANCELADA|1985-03-04|2283|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CBV INDUSTRIA MECANICA SA|1971-07-07|1999-05-13|CANCELADA|1999-05-13|2305|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CBV EQUIPAMENTOS INDS SA|1977-10-20|1987-12-04|CANCELADA|1987-12-04|2313|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CBV NORDESTE IND MECANICA SA|1976-11-29|1994-08-15|CANCELADA|1994-08-15|2321|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CCC CIA DE CARBONOS COLOIDAIS|1979-02-02|2005-12-20|CANCELADA|2005-12-20|2330|Petroquímicos e Borracha|PRIVADO
CCE IND COM|1981-03-19|1986-03-12|CANCELADA|1986-03-12|2348|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CELITE SA IND E COMERCIO|1982-01-22|1999-06-29|CANCELADA|1999-06-29|2399|Extração Mineral|PRIVADO
CELM CIA EQUIP LABS MODERNOS|1972-04-05|2011-01-04|CANCELADA|2011-01-04|2402|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
IRANI PAPEL E EMBALAGEM S.A.|1977-07-20||ATIVO|1977-07-20|2429|Papel e Celulose|PRIVADO
CEPEBE SA|1970-09-24|1987-07-06|CANCELADA|1987-07-06|2470|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL|1973-04-03|2016-11-30|CANCELADA|2016-11-30|2488|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CECASA|1962-09-26|2006-03-21|CANCELADA|2006-03-21|2496|Extração Mineral|PRIVADO
CERAMICA PORTO FERREIRA SA|1973-05-23|1995-10-06|CANCELADA|1995-10-06|2500|Extração Mineral|PRIVADO
CERAMICA SANTA MARCIA SA|1973-12-07|1987-12-10|CANCELADA|1987-12-10|2518|Extração Mineral|PRIVADO
CERAMICA SANTO ANTONIO SA|1971-12-27|1987-10-16|CANCELADA|1987-10-16|2526|Extração Mineral|PRIVADO
CERAMICA SAO JOSE GUACU|1974-10-29|1988-09-12|CANCELADA|1988-09-12|2542|Extração Mineral|PRIVADO
CETENCO ENGENHARIA SA|1977-07-20|2002-11-22|CANCELADA|2002-11-22|2585|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BUNGE ALIMENTOS SA|1977-07-20|2002-10-08|CANCELADA|2002-10-08|2593|Alimentos|PRIVADO
CEVEKOL SA IND COM PROD QUIM|1982-10-21|2005-03-22|CANCELADA|2005-03-22|2607|Petroquímicos e Borracha|PRIVADO
CHAPECO PARANA SA IND E COM|1983-10-04|1988-08-16|CANCELADA|1988-08-16|2615|Alimentos|PRIVADO
CIA PRODUTORES ARMS GERAIS|1977-07-20|1994-04-15|CANCELADA|1994-04-15|2631|Serviços Transporte e Logística|PRIVADO
ARCELORMITTAL INOX BRASIL S.A.|1971-12-22|2008-04-24|CANCELADA|2008-04-24|2658|Metalurgia e Siderurgia|PRIVADO
FAB DA PEDRA SA FIAÇÃO E TECELAGEM|1971-12-28|1993-11-08|CANCELADA|1993-11-08|2666|Têxtil e Vestuário|PRIVADO
CIA AGRO INDL DE GOIAS CAGIGO|1969-06-10|1991-09-04|CANCELADA|1991-09-04|2674|Alimentos|PRIVADO
CIA AGRO PECUARIA SANTA INES|1982-10-07|1986-07-09|CANCELADA|1986-07-09|2690|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS|1977-07-20|2006-03-21|CANCELADA|2006-03-21|2704|Alimentos|PRIVADO
CIA AMAZONENSE SAPONIFICACAO|1976-09-23|2005-12-20|CANCELADA|2005-12-20|2712|Petroquímicos e Borracha|PRIVADO
COMPANHIA  AMAZÔNIA TÊXTIL DE  ANIAGEM|1975-12-09|2001-04-16|CANCELADA|2001-04-18|2720|Têxtil e Vestuário|PRIVADO
COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC)|1970-03-06|2000-01-18|CANCELADA|2000-01-18|2755|Bebidas e Fumo|PRIVADO
COMPANHIA  ELDORADO DE HOTEIS|1972-11-21|2007-07-19|CANCELADA|2007-07-19|2763|Hospedagem e Turismo|PRIVADO
CIA BANDEIRANTES ARMS GERAIS|1977-07-20|2011-05-20|CANCELADA|2011-05-20|2810|Serviços Transporte e Logística|PRIVADO
CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES|1977-07-20|2005-12-20|CANCELADA|2005-12-20|2828|Emp. Adm. Part. - Têxtil e Vestuário|PRIVADO
CIA BRASILEIRA DE ESTRUTURAS METALICAS|1982-11-04|2007-11-13|CANCELADA|2007-11-13|2844|Metalurgia e Siderurgia|PRIVADO
CIA BRAS MATERIAIS COBRACO|1968-11-11|1987-05-29|CANCELADA|1987-05-29|2852|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CIA. BRAS PETRÓLEO IPIRANGA|1968-06-27|2008-07-17|CANCELADA|2008-07-17|2860|Petróleo e Gás|PRIVADO
CIA BRAS PROJETOS OBRAS CBPO|1982-08-23|1993-01-14|CANCELADA|1993-01-14|2887|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CIA CACIQUE CAFE SOLUVEL|1977-07-20|2015-03-23|CANCELADA|2015-03-23|2909|Alimentos|PRIVADO
CIA CERVEJARIA BRAHMA|1978-06-30|2000-11-08|CANCELADA|2000-11-08|2917|Bebidas e Fumo|PRIVADO
CIA CERVEJARIA CUIABANA|1967-01-04|1997-10-24|CANCELADA|1997-10-24|2925|Bebidas e Fumo|PRIVADO
COMPANHIA CIMENTO PORTLAND ITAU|1939-07-11|2004-05-21|CANCELADA|2004-05-21|2933|Extração Mineral|PRIVADO
CIA COMERCIAL BORBA CAMPO|1969-09-10|2006-11-22|CANCELADA|2006-11-22|2941|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CIA COML SCHRADER|1977-07-20|2000-09-28|CANCELADA|2000-09-28|2950|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CIA CIMENTO ATOL|1973-10-29|1995-11-27|CANCELADA|1995-11-27|2976|Extração Mineral|PRIVADO
CIA CIMENTO PORTL GAUCHO|1970-03-17|1993-04-12|CANCELADA|1993-04-12|3000|Extração Mineral|PRIVADO
CIA CIMENTO PORTL PARAISO|1970-01-07|1997-03-31|CANCELADA|1997-03-31|3018|Extração Mineral|PRIVADO
CIA CIMENTO SALVADOR|1972-11-21|1988-06-24|CANCELADA|1988-06-24|3026|Extração Mineral|PRIVADO
CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA|1977-07-20|2005-08-09|CANCELADA|2005-08-09|3034|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CIA FERRO LIGAS BAHIA FERBASA|1961-02-28||ATIVO|1961-02-28|3069|Metalurgia e Siderurgia|PRIVADO
COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA|1969-08-11||ATIVO|1969-08-11|3077|Têxtil e Vestuário|PRIVADO
CIA TECIDOS NORTE DE MINAS - COTEMINAS|1971-02-11||ATIVO|1971-02-11|3158|Têxtil e Vestuário|PRIVADO
CIA DOCAS DE IMBITUBA|1977-07-20|2017-11-28|CANCELADA|2017-11-28|3174|Serviços Transporte e Logística|PRIVADO
DOCAS INVESTIMENTOS SA|1977-07-20|2014-05-23|CANCELADA|2014-05-23|3182|Emp. Adm. Part. - Telecomunicações|PRIVADO
DONA ISABEL SA|1969-01-13|2010-01-04|CANCELADA|2010-01-04|3212|Têxtil e Vestuário|PRIVADO
CIA FABRICA YOLANDA|1972-03-24|2005-08-09|CANCELADA|2005-08-09|3220|Têxtil e Vestuário|PRIVADO
CIA FABRIL MASCARENHAS|1982-11-26|2006-04-26|CANCELADA|2006-04-26|3239|Têxtil e Vestuário|PRIVADO
CIA FERRO BRASILEIRO|1968-07-16|1991-12-26|CANCELADA|1991-12-26|3247|Metalurgia e Siderurgia|PRIVADO
CIA FIAÇÃO TECELAGEM PARA MINAS|1969-12-04|2010-01-04|CANCELADA|2010-01-04|3255|Têxtil e Vestuário|PRIVADO
COMPANHIA FLUMINENSE DE REFRIGERANTES|1972-07-27|2006-01-06|CANCELADA|2006-01-06|3263|Bebidas e Fumo|PRIVADO
CIA GERAL DE INDUSTRIAS|1969-09-30|2008-03-18|CANCELADA|2008-03-18|3280|Metalurgia e Siderurgia|PRIVADO
CIA HERING|1966-06-17|1999-04-30|CANCELADA|1999-04-30|3301|Têxtil e Vestuário|PRIVADO
CIA INDUSTRIAL DOX|1982-09-20|1997-08-07|CANCELADA|1997-08-07|3344|Metalurgia e Siderurgia|PRIVADO
CIA INDUSTRIAL AGROPECUARIA CONAPE|1977-07-20|2005-11-01|CANCELADA|2005-11-01|3360|Alimentos|PRIVADO
CIA INDL AMAZONENSE|1971-08-20|1998-07-10|CANCELADA|1998-07-10|3379|Metalurgia e Siderurgia|PRIVADO
CIA INDUSTRIAL BELO HORIZONTE|1969-08-08|2005-08-09|CANCELADA|2005-08-09|3387|Têxtil e Vestuário|PRIVADO
COMPANHIA INDUSTRIAL CATAGUASES|1973-12-19||ATIVO|1973-12-19|3395|Têxtil e Vestuário|PRIVADO
CIA INDUSTRIAL PELES COUROS|1974-10-17|2005-03-22|CANCELADA|2005-03-22|3425|Têxtil e Vestuário|PRIVADO
CIA INDL AGRIC SANTA CECILIA|1977-07-20|2001-11-29|CANCELADA|2001-11-29|3433|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CIA INDL MERC PAOLETTI|1977-07-20|1992-02-14|CANCELADA|1992-02-14|3441|Alimentos|PRIVADO
CIA INDL MERC ARTEF FERRO|1969-12-03|1999-09-09|CANCELADA|1999-09-09|3468|Metalurgia e Siderurgia|PRIVADO
CIA INDL MICHELETTO|1982-12-17|1988-05-09|CANCELADA|1988-05-09|3476|Metalurgia e Siderurgia|PRIVADO
MASSA FALIDA DE BRASPÉROLA INDÚSTRIA E COMÉRCIO SA|1971-12-08|2007-08-07|CANCELADA|2007-08-07|3506|Têxtil e Vestuário|PRIVADO
CIA INDL RIO GUAHYBA|1976-01-06|1993-07-12|CANCELADA|1993-07-12|3514|Têxtil e Vestuário|PRIVADO
CIA INDUSTRIAL SANTA MATILDE|1980-06-28|2010-01-04|CANCELADA|2010-01-04|3522|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CIA INDUSTRIAL SCHLOSSER S.A.|1985-06-28||ATIVO|1985-06-28|3549|Têxtil e Vestuário|PRIVADO
IND BEBS ANTARCTICA MG SA|1981-05-20|1999-01-11|CANCELADA|1999-01-11|3581|Bebidas e Fumo|PRIVADO
CIA LECO DE PRODS ALIMENTICIOS|1981-08-17|2009-02-20|CANCELADA|2009-02-20|3603|Alimentos|PRIVADO
MASSA FALIDA DA CIA LORENZ|1977-07-20|2010-01-04|CANCELADA|2010-01-04|3611|Alimentos|PRIVADO
CIA MADEIREIRA SAO MIGUEL|1973-10-19|2005-08-09|CANCELADA|2005-08-09|3620|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CIA MARANHENSE REFRIGERANTES|1971-09-28|2010-05-19|CANCELADA|2010-05-19|3638|Bebidas e Fumo|PRIVADO
CIA MATS SULFUROSOS MATSULFUR|1972-11-21|2002-11-30|CANCELADA|2002-11-30|3646|Extração Mineral|PRIVADO
COMPANHIA  MELHORAMENTOS DE SÃO PAULO|1977-07-20||ATIVO|1977-07-20|3654|Papel e Celulose|PRIVADO
MOTO PECAS TRANSMISSOES SA|1977-07-20|2000-10-16|CANCELADA|2000-10-16|3670|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
MÔNACO - ADMINISTRAÇÃO E PARTICIPAÇÕES S.A.|1978-06-19|2010-01-04|CANCELADA|2010-01-04|3719|Bebidas e Fumo|PRIVADO
CIA NACIONAL ESTAMPARIA CIANE|1982-08-11|2010-01-04|CANCELADA|2010-01-04|3727|Têxtil e Vestuário|PRIVADO
CIA NAC FRIGORIFICOS CONFRIO|1977-07-20|1989-04-14|CANCELADA|1989-04-14|3735|Pesca|PRIVADO
NOVA AMERICA SA|1987-07-20|2011-07-15|CANCELADA|2011-07-15|3751|Têxtil e Vestuário|PRIVADO
CIA NITROQUIMICA BRASILEIRA|1935-09-20|1990-08-03|CANCELADA|1990-08-03|3778|Petroquímicos e Borracha|PRIVADO
CIA PARAIBA CIM PORTL CIMEPAR|1971-10-19|1995-11-27|CANCELADA|1995-11-27|3786|Extração Mineral|PRIVADO
COMPANHIA PAULISTA FERRO LIGAS|1973-03-28|2002-12-23|CANCELADA|2002-12-23|3808|Metalurgia e Siderurgia|PRIVADO
CIA PAULISTA FERTILIZANTES|1969-06-11|2007-01-09|CANCELADA|2007-01-09|3816|Petroquímicos e Borracha|PRIVADO
CIA PAULISTA DE LAMINACAO|1950-09-29|1988-04-27|CANCELADA|1988-04-27|3832|Metalurgia e Siderurgia|PRIVADO
CIA PNEUS TROPICAL|1977-07-20|1991-09-25|CANCELADA|1991-09-25|3867|Petroquímicos e Borracha|PRIVADO
CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU|1966-06-29|2010-01-04|CANCELADA|2010-01-04|3875|Têxtil e Vestuário|PRIVADO
CIA QUIMICA METACRIL|1977-10-20|1992-11-26|CANCELADA|1992-11-26|3883|Petroquímicos e Borracha|PRIVADO
CIA RIOGRANDENSE DE ADUBOS|1950-08-17|1990-12-19|CANCELADA|1990-12-19|3905|Petroquímicos e Borracha|PRIVADO
AGIP DISTRIBUIDORA SA|1975-10-10|2000-01-14|CANCELADA|2000-01-14|3921|Petróleo e Gás|PRIVADO
CIA SALINAS PERYNAS|1982-08-10|1986-07-16|CANCELADA|1986-07-16|3930|Extração Mineral|PRIVADO
CIA SANTISTA DE PAPEL|1977-07-20|2001-03-22|CANCELADA|2001-03-22|3948|Papel e Celulose|PRIVADO
CIA SERVICOS ENGA SERVIENGE|1977-07-20|1998-01-08|CANCELADA|1998-01-08|3956|Construção Civil, Mat. Constr. e Decoração|PRIVADO
GERDAU S.A.|1980-09-03||ATIVO|1980-09-03|3980|Metalurgia e Siderurgia|PRIVADO
CIA SID ALAGOAS COMESA|1982-09-29|1994-03-18|CANCELADA|1994-03-18|3999|Metalurgia e Siderurgia|PRIVADO
CIA SID NORDESTE|1972-08-09|1995-03-21|CANCELADA|1995-03-21|4014|Metalurgia e Siderurgia|PRIVADO
CIA SIDERURGICA NACIONAL|1943-02-26||ATIVO|1943-02-26|4030|Metalurgia e Siderurgia|PRIVADO
COMPANHIA SUZANO DE PAPEL E CELULOSE|1977-07-20|2004-06-30|CANCELADA|2004-06-30|4065|Papel e Celulose|PRIVADO
CIA T JANER COM IND|1977-07-20|1991-04-09|CANCELADA|1991-04-09|4073|Comércio (Atacado e Varejo)|PRIVADO
